[10-Mar-2014 10:05:23] PHP Parse error:  syntax error, unexpected $end in /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/app/storage/views/aae9804413cf765607c16f90505207ff on line 20
[10-Mar-2014 10:05:23] PHP Stack trace:
[10-Mar-2014 10:05:23] PHP   1. {main}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:0
[10-Mar-2014 10:05:23] PHP   2. Illuminate\Foundation\Application->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:49
[10-Mar-2014 10:05:23] PHP   3. Stack\StackedHttpKernel->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:552
[10-Mar-2014 10:05:23] PHP   4. Illuminate\Cookie\Guard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/stack/builder/src/Stack/StackedHttpKernel.php:23
[10-Mar-2014 10:05:23] PHP   5. Illuminate\Cookie\Queue->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Guard.php:51
[10-Mar-2014 10:05:23] PHP   6. Illuminate\Session\Middleware->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Queue.php:47
[10-Mar-2014 10:05:23] PHP   7. Illuminate\Http\FrameGuard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Session/Middleware.php:58
[10-Mar-2014 10:05:23] PHP   8. Illuminate\Foundation\Application->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Http/FrameGuard.php:38
[10-Mar-2014 10:05:23] PHP   9. Illuminate\Foundation\Application->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:652
[10-Mar-2014 10:05:23] PHP  10. Illuminate\Routing\Router->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:677
[10-Mar-2014 10:05:23] PHP  11. Illuminate\Routing\Router->dispatchToRoute() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:938
[10-Mar-2014 10:05:23] PHP  12. Illuminate\Routing\Router->prepareResponse() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:971
[10-Mar-2014 10:05:23] PHP  13. Symfony\Component\HttpFoundation\Response->__construct() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1342
[10-Mar-2014 10:05:23] PHP  14. Illuminate\Http\Response->setContent() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/symfony/http-foundation/Symfony/Component/HttpFoundation/Response.php:202
[10-Mar-2014 10:05:23] PHP  15. Illuminate\View\View->render() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Http/Response.php:70
[10-Mar-2014 10:05:23] PHP  16. Illuminate\View\View->renderContents() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/View/View.php:76
[10-Mar-2014 10:05:23] PHP  17. Illuminate\View\View->getContents() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/View/View.php:102
[10-Mar-2014 10:05:23] PHP  18. Illuminate\View\Engines\CompilerEngine->get() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/View/View.php:134
[10-Mar-2014 10:05:23] PHP  19. Illuminate\View\Engines\PhpEngine->evaluatePath() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:56
[10-Mar-2014 10:27:25] PHP Parse error:  syntax error, unexpected ',' in /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/app/controllers/PaymentsController.php on line 167
[10-Mar-2014 10:27:25] PHP Stack trace:
[10-Mar-2014 10:27:25] PHP   1. {main}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:0
[10-Mar-2014 10:27:25] PHP   2. Illuminate\Foundation\Application->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:49
[10-Mar-2014 10:27:25] PHP   3. Stack\StackedHttpKernel->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:552
[10-Mar-2014 10:27:25] PHP   4. Illuminate\Cookie\Guard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/stack/builder/src/Stack/StackedHttpKernel.php:23
[10-Mar-2014 10:27:25] PHP   5. Illuminate\Cookie\Queue->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Guard.php:51
[10-Mar-2014 10:27:25] PHP   6. Illuminate\Session\Middleware->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Queue.php:47
[10-Mar-2014 10:27:25] PHP   7. Illuminate\Http\FrameGuard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Session/Middleware.php:58
